landmark_name,image_url,cluster1,cluster2,cluster3
Puerto Paraiso,landmark/Puerto Paraiso/3.jpg,1,0,3
Recreation Beach,landmark/Recreation Beach/1.jpg,0,3,2
Recreation Beach,landmark/Recreation Beach/2.jpg,2,2,0
Recreation Beach,landmark/Recreation Beach/3.jpg,0,0,2
Redondel Jose Marti,landmark/Redondel Jose Marti/1.jpg,2,2,1
Redondel Jose Marti,landmark/Redondel Jose Marti/2.jpg,0,2,2
Regency Theatre,landmark/Regency Theatre/2.jpg,0,0,3
Residenzschloss,landmark/Residenzschloss/2.jpg,2,2,3
Residenzschloss,landmark/Residenzschloss/3.jpg,2,2,3
Restaurant Yungay Viejo,landmark/Restaurant Yungay Viejo/1.jpg,2,1,3
Restaurant Yungay Viejo,landmark/Restaurant Yungay Viejo/2.jpg,0,0,1
Restaurant Yungay Viejo,landmark/Restaurant Yungay Viejo/3.jpg,0,2,2
Rovinj Harbor,landmark/Rovinj Harbor/1.jpg,1,2,1
Rovinj Harbor,landmark/Rovinj Harbor/2.jpg,0,0,1
Rovinj Harbor,landmark/Rovinj Harbor/3.jpg,0,1,3
Sea Horse,landmark/Sea Horse/3.jpg,0,3,2
Secret Lake,landmark/Secret Lake/1.jpg,2,3,0
Sindicato,landmark/Sindicato/2.jpg,1,2,1
Sint-Baafsplein,landmark/Sint-Baafsplein/1.jpg,2,2,3
Sint-Baafsplein,landmark/Sint-Baafsplein/2.jpg,3,0,3
Sint-Baafsplein,landmark/Sint-Baafsplein/3.jpg,0,2,0
Site Oud Sint-Jan,landmark/Site Oud Sint-Jan/1.jpg,3,1,2
Site Oud Sint-Jan,landmark/Site Oud Sint-Jan/3.jpg,1,0,0
Skatepark Hollerich,landmark/Skatepark Hollerich/2.jpg,2,2,0
Skatepark Hollerich,landmark/Skatepark Hollerich/3.jpg,0,0,2
Soho,landmark/Soho/1.jpg,2,1,0
Soho,landmark/Soho/2.jpg,1,0,1
Soho,landmark/Soho/3.jpg,3,0,0
Sol e Pesca,landmark/Sol e Pesca/2.jpg,1,2,0
Sol e Pesca,landmark/Sol e Pesca/3.jpg,1,0,1
Starling Farm Kampot Pepper,landmark/Starling Farm Kampot Pepper/2.jpg,0,2,1
Strandslag 12,landmark/Strandslag 12/1.jpg,2,0,0
Strandslag 12,landmark/Strandslag 12/2.jpg,2,3,2
Strandslag 12,landmark/Strandslag 12/3.jpg,1,3,1
Stunning View,landmark/Stunning View/1.jpg,2,3,0
Stunning View,landmark/Stunning View/2.jpg,2,3,2
Stunning View,landmark/Stunning View/3.jpg,2,1,1
StureCompagniet,landmark/StureCompagniet/1.jpg,0,0,1
StureCompagniet,landmark/StureCompagniet/2.jpg,1,3,1
StureCompagniet,landmark/StureCompagniet/3.jpg,1,0,1
Sua Academia,landmark/Sua Academia/2.jpg,1,2,2
Sua Academia,landmark/Sua Academia/3.jpg,1,2,2
Suikerrui,landmark/Suikerrui/1.jpg,0,1,3
Suikerrui,landmark/Suikerrui/2.jpg,2,3,1
Suikerrui,landmark/Suikerrui/3.jpg,2,3,1
Sunset Park,landmark/Sunset Park/1.jpg,1,1,1
Sunset Park,landmark/Sunset Park/2.jpg,2,0,3
Sunset Park,landmark/Sunset Park/3.jpg,0,2,1
Sunter Mall,landmark/Sunter Mall/1.jpg,1,0,3
Sunter Mall,landmark/Sunter Mall/3.jpg,2,1,3
Sureyya Opera House,landmark/Sureyya Opera House/1.jpg,3,0,3
Sureyya Opera House,landmark/Sureyya Opera House/2.jpg,0,1,1
Suryauday Haveli Shivala Ghat,landmark/Suryauday Haveli Shivala Ghat/1.jpg,1,0,1
Suryauday Haveli Shivala Ghat,landmark/Suryauday Haveli Shivala Ghat/2.jpg,0,0,2
Suryauday Haveli Shivala Ghat,landmark/Suryauday Haveli Shivala Ghat/3.jpg,0,1,3
Sushibar + Wine,landmark/Sushibar + Wine/1.jpg,2,3,3
Sushibar + Wine,landmark/Sushibar + Wine/2.jpg,2,2,1
Swimming Pool @ Sheraton Maldives,landmark/Swimming Pool @ Sheraton Maldives/2.jpg,0,2,0
Sæmundur i Sparifotunum,landmark/Sæmundur i Sparifotunum/1.jpg,1,1,2
Sæmundur i Sparifotunum,landmark/Sæmundur i Sparifotunum/2.jpg,1,3,2
Sæmundur i Sparifotunum,landmark/Sæmundur i Sparifotunum/3.jpg,1,0,3
Teatro Mayor Julio Mario Santo Domingo,landmark/Teatro Mayor Julio Mario Santo Domingo/2.jpg,0,3,1
Tennis Spora,landmark/Tennis Spora/1.jpg,2,1,0
Terra,landmark/Terra/2.jpg,2,1,0
Terrapin Point,landmark/Terrapin Point/1.jpg,0,1,2
Terrapin Point,landmark/Terrapin Point/2.jpg,1,3,0
Terrapin Point,landmark/Terrapin Point/3.jpg,2,3,2
The Circus,landmark/The Circus/1.jpg,3,0,3
The Circus,landmark/The Circus/2.jpg,2,2,0
The Circus,landmark/The Circus/3.jpg,3,2,0
The Duke,landmark/The Duke/1.jpg,2,1,3
The Duke,landmark/The Duke/3.jpg,3,1,1
The Famine Memorial,landmark/The Famine Memorial/1.jpg,2,3,3
The Famine Memorial,landmark/The Famine Memorial/2.jpg,0,2,2
The Led Zephyr,landmark/The Led Zephyr/2.jpg,2,3,2
Tinguely-Brunnen,landmark/Tinguely-Brunnen/1.jpg,1,1,3
Tinguely-Brunnen,landmark/Tinguely-Brunnen/2.jpg,0,2,0
Top One Academia,landmark/Top One Academia/2.jpg,0,0,0
Umbrella,landmark/Umbrella/1.jpg,3,2,0
Umbrella,landmark/Umbrella/2.jpg,3,0,3
Umbrella,landmark/Umbrella/3.jpg,2,2,1
Vinpearl Cable Car,landmark/Vinpearl Cable Car/1.jpg,3,2,0
Vinpearl Cable Car,landmark/Vinpearl Cable Car/2.jpg,3,2,0
Vinpearl Cable Car,landmark/Vinpearl Cable Car/3.jpg,2,2,3
Vyhlidka Petra Velikeho,landmark/Vyhlidka Petra Velikeho/1.jpg,2,0,0
Vyhlidka Petra Velikeho,landmark/Vyhlidka Petra Velikeho/2.jpg,2,1,3
Vyhlidka Petra Velikeho,landmark/Vyhlidka Petra Velikeho/3.jpg,0,0,1
Whirlpool Rapids,landmark/Whirlpool Rapids/1.jpg,0,2,0
Whirlpool Rapids,landmark/Whirlpool Rapids/2.jpg,1,1,3
Yavuz Sultan Selim Cami,landmark/Yavuz Sultan Selim Cami/1.jpg,1,2,1
Yavuz Sultan Selim Cami,landmark/Yavuz Sultan Selim Cami/2.jpg,2,3,3
Ye Old Abbey Tavern,landmark/Ye Old Abbey Tavern/1.jpg,1,0,1
Zona VIP - K Urban Beach,landmark/Zona VIP - K Urban Beach/2.jpg,0,1,3
Zona VIP - K Urban Beach,landmark/Zona VIP - K Urban Beach/3.jpg,3,1,2
Zuidpark _ Koning Albertpark,landmark/Zuidpark _ Koning Albertpark/1.jpg,0,0,1
Zuidpark _ Koning Albertpark,landmark/Zuidpark _ Koning Albertpark/3.jpg,1,0,1
Государственный Кремлёвский дворец,landmark/Государственный Кремлёвский дворец/1.jpg,2,2,1
Государственный Кремлёвский дворец,landmark/Государственный Кремлёвский дворец/2.jpg,1,3,1
Государственный Кремлёвский дворец,landmark/Государственный Кремлёвский дворец/3.jpg,2,2,3
Зала _Универсиада_ (Universiada Hall),landmark/Зала _Универсиада_ (Universiada Hall)/2.jpg,3,0,3
Измайловский кремль,landmark/Измайловский кремль/1.jpg,0,0,2
